No articulo,Articulo,Palabra,Tipo entidad
0,0211-699501013259,Efecto,o
0,0211-699501013259,de,o
0,0211-699501013259,la,o
0,0211-699501013259,suplementacion,i
0,0211-699501013259,con,o
0,0211-699501013259,acido,i
0,0211-699501013259,folico,i
0,0211-699501013259,sobre,o
0,0211-699501013259,los,o
0,0211-699501013259,niveles,i
0,0211-699501013259,de,i
0,0211-699501013259,homocisteina,i
0,0211-699501013259,total,o
0,0211-699501013259,en,o
0,0211-699501013259,pacientes,o
0,0211-699501013259,en,o
0,0211-699501013259,hemodialisis,i
0,0211-699501013259,La,o
0,0211-699501013259,hiperhomocisteinemia,i
0,0211-699501013259,es,o
0,0211-699501013259,un,o
0,0211-699501013259,marcador,o
0,0211-699501013259,de,o
0,0211-699501013259,riesgo,o
0,0211-699501013259,independiente,o
0,0211-699501013259,de,o
0,0211-699501013259,morbimortalidad,o
0,0211-699501013259,cardiovascular,i
0,0211-699501013259,Hemos,o
0,0211-699501013259,intentado,o
0,0211-699501013259,prospectivamente,o
0,0211-699501013259,reducir,o
0,0211-699501013259,los,o
0,0211-699501013259,niveles,i
0,0211-699501013259,de,i
0,0211-699501013259,homocisteina,i
0,0211-699501013259,total,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,mediante,o
0,0211-699501013259,suplemento,o
0,0211-699501013259,con,o
0,0211-699501013259,acido,i
0,0211-699501013259,folico,i
0,0211-699501013259,y,o
0,0211-699501013259,vitamina,i
0,0211-699501013259,B6,i
0,0211-699501013259,pp,i
0,0211-699501013259,valorando,o
0,0211-699501013259,su,o
0,0211-699501013259,posible,o
0,0211-699501013259,correlacion,o
0,0211-699501013259,con,o
0,0211-699501013259,dosis,o
0,0211-699501013259,de,o
0,0211-699501013259,dialisis,i
0,0211-699501013259,funcion,i
0,0211-699501013259,residual,i
0,0211-699501013259,y,o
0,0211-699501013259,parametros,o
0,0211-699501013259,nutricionales,o
0,0211-699501013259,Metodos,o
0,0211-699501013259,Todos,o
0,0211-699501013259,los,o
0,0211-699501013259,pacientes,o
0,0211-699501013259,en,o
0,0211-699501013259,hemodialisis,i
0,0211-699501013259,al,o
0,0211-699501013259,comienzo,o
0,0211-699501013259,del,o
0,0211-699501013259,estudio,o
0,0211-699501013259,que,o
0,0211-699501013259,no,o
0,0211-699501013259,recibian,o
0,0211-699501013259,acido,i
0,0211-699501013259,folico,i
0,0211-699501013259,ni,o
0,0211-699501013259,vitamina,i
0,0211-699501013259,B6,i
0,0211-699501013259,asi,o
0,0211-699501013259,como,o
0,0211-699501013259,los,o
0,0211-699501013259,incorporados,o
0,0211-699501013259,posteriormente,o
0,0211-699501013259,a,o
0,0211-699501013259,partir,o
0,0211-699501013259,de,o
0,0211-699501013259,su,o
0,0211-699501013259,tercer,o
0,0211-699501013259,mes,o
0,0211-699501013259,en,o
0,0211-699501013259,hemodialisis,i
0,0211-699501013259,recibieron,o
0,0211-699501013259,5,o
0,0211-699501013259,mg,o
0,0211-699501013259,orales,o
0,0211-699501013259,de,o
0,0211-699501013259,acido,i
0,0211-699501013259,folico,i
0,0211-699501013259,cada,o
0,0211-699501013259,48,o
0,0211-699501013259,horas,o
0,0211-699501013259,y,o
0,0211-699501013259,40,o
0,0211-699501013259,mg,o
0,0211-699501013259,orales,o
0,0211-699501013259,de,o
0,0211-699501013259,vitamina,i
0,0211-699501013259,B6,i
0,0211-699501013259,cada,o
0,0211-699501013259,semana,o
0,0211-699501013259,Se,o
0,0211-699501013259,determinaron,o
0,0211-699501013259,al,o
0,0211-699501013259,comienzo,o
0,0211-699501013259,del,o
0,0211-699501013259,estudio,o
0,0211-699501013259,y,o
0,0211-699501013259,cada,o
0,0211-699501013259,2,o
0,0211-699501013259,meses,o
0,0211-699501013259,niveles,i
0,0211-699501013259,de,i
0,0211-699501013259,folato,i
0,0211-699501013259,vitamina,i
0,0211-699501013259,B12,i
0,0211-699501013259,inmunoensayo,i
0,0211-699501013259,albumina,i
0,0211-699501013259,y,o
0,0211-699501013259,cinetica,o
0,0211-699501013259,de,o
0,0211-699501013259,la,o
0,0211-699501013259,urea,i
0,0211-699501013259,KTV,o
0,0211-699501013259,KRU,o
0,0211-699501013259,PCRn,o
0,0211-699501013259,y,o
0,0211-699501013259,cada,o
0,0211-699501013259,6,o
0,0211-699501013259,meses,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,HPLC,i
0,0211-699501013259,y,o
0,0211-699501013259,pp,i
0,0211-699501013259,RIA,i
0,0211-699501013259,Resultados,o
0,0211-699501013259,80,o
0,0211-699501013259,pacientes,o
0,0211-699501013259,fueron,o
0,0211-699501013259,incluidos,o
0,0211-699501013259,en,o
0,0211-699501013259,el,o
0,0211-699501013259,estudio,o
0,0211-699501013259,basal,o
0,0211-699501013259,con,o
0,0211-699501013259,una,o
0,0211-699501013259,prevalencia,o
0,0211-699501013259,de,o
0,0211-699501013259,hiperhomocisteinemia,i
0,0211-699501013259,del,o
0,0211-699501013259,844,o
0,0211-699501013259,deficit,i
0,0211-699501013259,de,i
0,0211-699501013259,pp,i
0,0211-699501013259,en,o
0,0211-699501013259,el,o
0,0211-699501013259,32,o
0,0211-699501013259,y,o
0,0211-699501013259,folato,i
0,0211-699501013259,en,o
0,0211-699501013259,el,o
0,0211-699501013259,rango,o
0,0211-699501013259,normal,o
0,0211-699501013259,bajo,o
0,0211-699501013259,los,o
0,0211-699501013259,niveles,i
0,0211-699501013259,de,i
0,0211-699501013259,tHcy,i
0,0211-699501013259,se,o
0,0211-699501013259,correlacionaban,o
0,0211-699501013259,inversamente,o
0,0211-699501013259,con,o
0,0211-699501013259,los,o
0,0211-699501013259,del,o
0,0211-699501013259,folato,i
0,0211-699501013259,r,o
0,0211-699501013259,0336,o
0,0211-699501013259,p,o
0,0211-699501013259,001,o
0,0211-699501013259,pero,o
0,0211-699501013259,no,o
0,0211-699501013259,con,o
0,0211-699501013259,pp,i
0,0211-699501013259,B12,i
0,0211-699501013259,edad,o
0,0211-699501013259,albumina,i
0,0211-699501013259,KTV,o
0,0211-699501013259,KRU,o
0,0211-699501013259,PCRn,o
0,0211-699501013259,Cincuenta,o
0,0211-699501013259,y,o
0,0211-699501013259,ocho,o
0,0211-699501013259,pacientes,o
0,0211-699501013259,recibieron,o
0,0211-699501013259,seis,o
0,0211-699501013259,meses,o
0,0211-699501013259,de,o
0,0211-699501013259,suplementacion,i
0,0211-699501013259,con,o
0,0211-699501013259,normalizacion,o
0,0211-699501013259,del,o
0,0211-699501013259,pp,i
0,0211-699501013259,aumento,o
0,0211-699501013259,del,o
0,0211-699501013259,folato,i
0,0211-699501013259,703,o
0,0211-699501013259,IC,o
0,0211-699501013259,638,o
0,0211-699501013259,795,o
0,0211-699501013259,vs,o
0,0211-699501013259,6181,o
0,0211-699501013259,IC,o
0,0211-699501013259,4447,o
0,0211-699501013259,7811,o
0,0211-699501013259,p,o
0,0211-699501013259,0001,o
0,0211-699501013259,y,o
0,0211-699501013259,descenso,o
0,0211-699501013259,de,o
0,0211-699501013259,la,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,240,o
0,0211-699501013259,IC,o
0,0211-699501013259,213,o
0,0211-699501013259,264,o
0,0211-699501013259,vs,o
0,0211-699501013259,199,o
0,0211-699501013259,IC,o
0,0211-699501013259,175,o
0,0211-699501013259,224,o
0,0211-699501013259,p,o
0,0211-699501013259,005,o
0,0211-699501013259,Han,o
0,0211-699501013259,recibido,o
0,0211-699501013259,suplementacion,i
0,0211-699501013259,durante,o
0,0211-699501013259,12,o
0,0211-699501013259,meses,o
0,0211-699501013259,33,o
0,0211-699501013259,pacientes,o
0,0211-699501013259,pero,o
0,0211-699501013259,a,o
0,0211-699501013259,pesar,o
0,0211-699501013259,de,o
0,0211-699501013259,un,o
0,0211-699501013259,continuo,o
0,0211-699501013259,aumento,o
0,0211-699501013259,del,o
0,0211-699501013259,folato,i
0,0211-699501013259,10078,o
0,0211-699501013259,IC,o
0,0211-699501013259,7481,o
0,0211-699501013259,12674,o
0,0211-699501013259,p,o
0,0211-699501013259,0001,o
0,0211-699501013259,solo,o
0,0211-699501013259,3,o
0,0211-699501013259,pacientes,o
0,0211-699501013259,presentan,o
0,0211-699501013259,niveles,o
0,0211-699501013259,normales,o
0,0211-699501013259,de,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,correlacionandose,o
0,0211-699501013259,directamente,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,con,o
0,0211-699501013259,la,o
0,0211-699501013259,albumina,i
0,0211-699501013259,r,o
0,0211-699501013259,056,o
0,0211-699501013259,p,o
0,0211-699501013259,0001,o
0,0211-699501013259,que,o
0,0211-699501013259,se,o
0,0211-699501013259,elevo,o
0,0211-699501013259,con,o
0,0211-699501013259,respecto,o
0,0211-699501013259,al,o
0,0211-699501013259,inicio,o
0,0211-699501013259,337,o
0,0211-699501013259,IC,o
0,0211-699501013259,327,o
0,0211-699501013259,346,o
0,0211-699501013259,vs,o
0,0211-699501013259,350,o
0,0211-699501013259,IC,o
0,0211-699501013259,337,o
0,0211-699501013259,363,o
0,0211-699501013259,p,o
0,0211-699501013259,005,o
0,0211-699501013259,Conclusion,o
0,0211-699501013259,Tras,o
0,0211-699501013259,suplementacion,i
0,0211-699501013259,con,o
0,0211-699501013259,acido,i
0,0211-699501013259,folico,i
0,0211-699501013259,y,o
0,0211-699501013259,vitamina,i
0,0211-699501013259,B6,i
0,0211-699501013259,aunque,o
0,0211-699501013259,inicialmente,o
0,0211-699501013259,se,o
0,0211-699501013259,reduce,o
0,0211-699501013259,la,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,esta,o
0,0211-699501013259,respuesta,o
0,0211-699501013259,se,o
0,0211-699501013259,hace,o
0,0211-699501013259,refractaria,o
0,0211-699501013259,correlacionandose,o
0,0211-699501013259,directamente,o
0,0211-699501013259,la,o
0,0211-699501013259,tHcy,i
0,0211-699501013259,con,o
